,description,url,Name,Cond.,Price
0,"Продаем куклу beby born в коробке горшочек в подарокPreili and reg., Preili",https://ss.com/msg/en/for-children/toys/dolls/bfefpn.html,Baby born,used,25  €
1,"Reborn lelle. 
50cm, 2kg. 

Maneklītis uz magneta. 
Jauks un mīļš bēbis. 
+ papilduRiga district, Ropažu nov.",https://ss.com/msg/en/for-children/toys/dolls/bffgmd.html,Reborn,used,70  €
2,"Продаю комплект кукол, б/у.Riga district, Baldone",https://ss.com/msg/en/for-children/toys/dolls/bcglhg.html,Lelles,used,10  €
3,"Pārdodu Barbi lelli. Kājas lokas, somiņa un citi aksesuāri, kas redzami. 

Продаю БарбRiga, Imanta",https://ss.com/msg/en/for-children/toys/dolls/bxhilj.html,Barbi,used,5  €
4,"Комплект кукол, б/у, + новый пазл.Riga district, Baldone",https://ss.com/msg/en/for-children/toys/dolls/bepfgc.html,Lelles,used,12  €
5,"Продаю комплект кукол в хорошем состоянии, б/у.Riga district, Baldone",https://ss.com/msg/en/for-children/toys/dolls/nbeng.html,Simba toys,used,15  €
6,"Продаю Машеньку с коляской и бутылочкой в идеальном состоянии. 
Прошу звонить или смс.Riga, Plyavnieki",https://ss.com/msg/en/for-children/toys/dolls/cxjeno.html,Маша и медведь,new,7  €
7,"Крупные персонажи, полные озорства, с дружелюбными лицами и большими ртами. 
НевероятнаRiga, Centre",https://ss.com/msg/en/for-children/toys/dolls/bgckix.html,Бренд: The Puppet Company,new,19  €
8,"Советская кукла Красная шапочка высота 45см. Высылаю почтой.Riga, Imanta",https://ss.com/msg/en/for-children/toys/dolls/bfdikp.html,Красная шапочка,used,20  €
9,"Новая куколка в коробке. 
 Ever After High . 
Иманта, Омнива.Riga, Imanta",https://ss.com/msg/en/for-children/toys/dolls/bhcnhp.html,Ever after high,new,25  €
10,"Lelle Mimi 42 cm (raud, runā, ar mānekli, mīkstais ķermenis, lokas rokas un kājas) SpāniRiga, Centre",https://ss.com/msg/en/for-children/toys/dolls/beonln.html,Lelle Mimi 42 cm (raud,new,64  €
11,"Lelle Mimi 42 cm (raud, runā, ar mānekli, mīkstais ķermenis, lokas rokas un kājas) SpāniRiga, Centre",https://ss.com/msg/en/for-children/toys/dolls/bfdehx.html,Lelle Mimi 42 cm (raud,new,65  €
12,"Lelle zīdainis Nica meitene ar sedziņu un mānekli (vinila ķermenis) 40 cm Spānija Ll7388Riga, Centre",https://ss.com/msg/en/for-children/toys/dolls/bfbdxm.html,Lelle zīdainis Nica40 cm,new,62  €
13,"Lelle zīdainis Bimba meitene ar spilvenu un mānekli (vinila ķermenis) 35 cm Spānija Ll63Riga, Centre",https://ss.com/msg/en/for-children/toys/dolls/mfxmk.html,Lelle zīdainis Bimbavinil,new,53  €
