,description,Model,Year,Volume,Run,Price,price_n
0,"Pārdodu Ford Mondeo, atdzītu no Norvēģijas. Patiess, pierādāms nobraukums. T",Mondeo,2007,2.0D,269000,"2,590  €",2590
1,Машина в хорошем состоянии. Самая полная комплектация. Недавно были заменены,Galaxy,2007,2.0D,287000,"4,600  €",4600
2,"Ford Fiesta 1.6 Tdci, 70kW, 03.2013 g. 

225 100 km

No Vācijas

Autom",Fiesta,2013,1.6D,-,"6,650  €",6650
3,"Ford Mondeo 2.0L Dīzelis, 103kW, 12.2009 g. 
306 235 km
No Vācijas

Auto",Mondeo,2009,2.0D,-,"4,700  €",4700
4,"Ford Focus 1.6 Tdci Titanium, 77kW, 06.2014 g. 

173 162 km

No Nīderlan",Focus,2014,1.6D,-,"7,500  €",7500
5,"Ford Focus, 1.6L Dīzelis, 85kW, 03.2013 g. 
205 905 km
No Vācijas
Automaš",Focus,2013,1.6D,-,"6,990  €",6990
6,Только пригнана в Латвии не эксплатировалась Новый ТО пробег 282000км авто в,S-Max,2006,1.8D,-,"3,850  €",3850
7,"Pārdod Ford Focus 1.6D 2008
Labā tehniskā un vizuālā stāvoklī. 
TA līdz 15",Focus,2008,1.6D,295000,"2,200  €",2200
8,"2.0 dīzelis mehānika tikko no Francijas, Ideālā stāvoklī kā tehniski tā vizu",Kuga,2013,2.0D,-,"12,400  €",12400
9,"Ford escort 1988g 1, 6d
Ar pārrakstīšanu, bez nodokļu parādiem. 
Degvielas",Escort,1988,1.6D,64000,450  €,450
10,"2.0Tdi Automāts, 7-Vietas. Bixenons, Navigācija, Kruizkontrole, Klimatkontro",S-Max,2015,2.0D,-,"8,890  €",8890
11,"Jaunas ziemas riepas, vasaras riepas ar diskiem, salons ka jauns. Videorēgis",Tourneo,2013,2.0D,58000,"21,000  €",21000
12,Ir vizuāli defekti.,Focus,2007,1.6,-,700  €,700
13,"Ietilpīgs ģimenes auto
- 1.9dīzelis 96kw , dzinējs darbojas tīri , salonā s",Galaxy,2003,1.9D,-,"2,100  €",2100
14,"Ford transit 2.2 63kw Dīzelis. Labā stāvoklī, kravas nodalījums noklāts ar s",Transit,2010,2.2D,394000,"5,500  €",5500
15,"Tikko no Francijas. Pārdod Ford Focus ar 1, 6 Tdci, 90kW dzinēju. Auto ļoti ",Focus,2009,1.6D,198000,"4,350  €",4350
16,"Jauna TA. Ford Focus 2006 gada, 1.6 ekonomisks benzīns. Oriģināls un pārbaud",Focus,2006,1.6,342000,"1,350  €",1350
17,"S-Max 1.8Cdti 7 sēdvietas. Laba tehniska un vizuāla stāvokli. 
Ļoti praktis",S-Max,2007,1.8D,-,"2,750  €",2750
18,"1.9 tdi 110 kW, 6-кпп, тех. осмотр до 23.08.2023.Налог в этом год оплачен по",Galaxy,2005,1.9D,258000,"1,990  €",1990
19,"Ford S-Max 1.8Cdti 7 sēdvietas. 
Lielisks ģimenes auto. 
Navigācia. 
Park",S-Max,2006,1.8D,183000,"2,390  €",2390
20,No Itālijas Ford Kuga Titanium 2.0Tdci 100Kw. 135Zs. 2008.G. Izl. Auto labā ,Kuga,2008,2.0D,247000,"7,490  €",7490
21,No Vācijas Ford Galaxy Titanium 2.0Tdci 103Kw. 2012.G. Izl. Facelift modelis,Galaxy,2012,2.0D,273000,"7,990  €",7990
22,No Vācijas Ford Mondeo Titanium 2.0Tdci 2008.G. Izl. Auto ir labā tehniskā u,Mondeo,2008,2.0D,250000,"4,600  €",4600
23,"Продам Ford Mondeo, Год выпуска: 2001 / Май, Техосмотр: 06/2023, Пробег: 228",Mondeo,2001,2.0D,229000,"1,200  €",1200
24,Ford Transit Connect 1.6 Tdci (95 Zs) ar mehānisko pārnesumkārbu. Cena ar Pv,Transit,2014,1.6D,181000,"10,900  €",10900
25,"Auto no Vācijas, pirkts oficiālā izsolē. 
Viena īpašnieka auto. 
Ford Kuga",Kuga,2016,2.0D,-,"16,999  €",16999
26,"Jauna TA, 
7 sēdvietas, 
Komplektā ziemas riepas ar lietiem diskiem, 
Pie",Galaxy,2007,2.0D,-,"4,750  €",4750
27,"Ford Bmax
2013
206360 KM

Vai meklējat uzticamu lietotu automašīnu? Tad ",B-Max,2013,1.6D,207000,"6,970  €",6970
28,"Pārdodam automašīnu Ford C-Max 1.6 Tdci. 

Automašīnas aprīkojums: Drošība",C-Max,2008,1.6D,328000,"2,850  €",2850
29,"St-Line . Awd . 2.0 Tdci 110kw 150zs . Automāts . 2019.gada modelis. 
Iespē",Kuga,2019,2.0D,202000,"19,790  €changing",19790
