,description,url,Brand,Year,Price
0,"Cena norādīta ar Pvn. Pārdodu T150-K labā darba kārtībā, ar Jamz 238 dzinēju ar turbBalvi and reg., Balvu pag.",https://ss.com/msg/en/agriculture/agricultural-machinery/tractors/wheeled-tractors/bbbdfi.html,T150-KT150-K,1989,"13,200  €"
1,"New Holland T7, 250 zirgi, autocomand, priekseja uzkare ar judzeni.Daugavpils and reg., Daugavpils",https://ss.com/msg/en/agriculture/agricultural-machinery/tractors/wheeled-tractors/dxhdp.html,New HollandT7 250,2013,"64,000  €"
2,"Pārdodu T40 ar tehnisko un dokumentiem. Darba kārtībā. Cena runājama.Rezekne and reg., Rezekne",https://ss.com/msg/en/agriculture/agricultural-machinery/tractors/wheeled-tractors/ajilf.html,T40Am,1991,"3,400  €"
3,"Nopirktu mtz 82Daugavpils and reg., Līksnas pag.",https://ss.com/msg/en/agriculture/agricultural-machinery/tractors/wheeled-tractors/bbbdlk.html,BelarusMtz 82,-,buy 
4,"Pārdod darbaspējīgu traktoru T25, ar dokumentiem, jauns starteris, eļļas spiediens 3Dobele and reg., Auru pag.",https://ss.com/msg/en/agriculture/agricultural-machinery/tractors/wheeled-tractors/bcdjkh.html,T25T25,-,"3,350  €"
5,"Uzņēmums pārdod New Holland (Ford) 8770, 1999. gada, jauda 140kW, traktors labā darbLudza and reg., Goliševas pag.",https://ss.com/msg/en/agriculture/agricultural-machinery/tractors/wheeled-tractors/bdfonb.html,New HollandFord) 8770,1999,"18,150  €"
6,"Transportējam traktorus. svarā līdz 10 t - 1.1 eur/km, virs 10 t 1, 50 eur/km.Riga, Rumbula",https://ss.com/msg/en/agriculture/agricultural-machinery/tractors/wheeled-tractors/bfkmmp.html,ScaniaTreilers,2008,1.10  €
7,"Traktoru un citas tehnikas pārvadājumu pakalpojums. 
Platforma 7m gara. 
Krāns, viPreili and reg., Vārkavas pag.",https://ss.com/msg/en/agriculture/agricultural-machinery/tractors/wheeled-tractors/bbxohg.html,VolvoFl6,-,80  €
8,"Piedāvāju beramo kravu pārvadāšanas pakalpojumu. 
Grants, šķemba, graudi un cits.Preili and reg., Vārkavas pag.",https://ss.com/msg/en/agriculture/agricultural-machinery/tractors/wheeled-tractors/bckhib.html,ManBeramās kravas,-,100  €
9,"Piedāvāju treilera pakalpojumus. 
Kāpurķēžu un citas tehnikas pārvadājumi.Preili and reg., Preili",https://ss.com/msg/en/agriculture/agricultural-machinery/tractors/crawler-tractors/bbhxhc.html,ScaniaTraktori,-,100  €
10,"Pārdodu traktoru mtz 82, ar dokumentiem, Tehniskā apskate ari ir, jaunas aizmugurējāRezekne and reg., Rezekne",https://ss.com/msg/en/agriculture/agricultural-machinery/tractors/wheeled-tractors/bbxlgh.html,Mtz 82Mtz 82,1988,"6,100  €"
11,"Kloķvārpstu slīpēšana un dinamiskā balansēšana visu veidu traktortehnikai un auto maJelgava and reg., Jelgava",https://ss.com/msg/en/agriculture/agricultural-machinery/tractors/wheeled-tractors/belllo.html,DzinējsKloķvārpsta,-,-
